game_id,date,venue,home_team,away_team,game_type,home_score,away_score,winner,loser,won_by,margin,winning_pitcher,losing_pitcher,save_pitcher,top_hitter,top_hitter_team,top_hitter_line,top_pitcher,top_pitcher_team,top_pitcher_line
823244,2026-03-25,Oracle Park,San Francisco Giants,New York Yankees,R,0,7,New York Yankees,San Francisco Giants,Away,7,Max Fried,Logan Webb,,Giancarlo Stanton,New York Yankees,"2-4, 0 HR, 1 RBI",Logan Webb,San Francisco Giants,"5.0 IP, 7 K, 6 ER"
823649,2026-03-26,Citi Field,New York Mets,Pittsburgh Pirates,R,11,7,New York Mets,Pittsburgh Pirates,Home,4,Freddy Peralta,Paul Skenes,,Brandon Lowe,Pittsburgh Pirates,"2-4, 2 HR, 3 RBI",Freddy Peralta,New York Mets,"5.0 IP, 7 K, 4 ER"
823812,2026-03-26,American Family Field,Milwaukee Brewers,Chicago White Sox,R,14,2,Milwaukee Brewers,Chicago White Sox,Home,12,Jacob Misiorowski,Shane Smith,,Jake Bauers,Milwaukee Brewers,"2-5, 1 HR, 3 RBI",Jacob Misiorowski,Milwaukee Brewers,"5.0 IP, 11 K, 1 ER"
824704,2026-03-26,Wrigley Field,Chicago Cubs,Washington Nationals,R,4,10,Washington Nationals,Chicago Cubs,Away,6,Brad Lord,Matthew Boyd,,Joey Wiemer,Washington Nationals,"3-3, 1 HR, 1 RBI",Matthew Boyd,Chicago Cubs,"3.2 IP, 7 K, 6 ER"
824865,2026-03-26,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,R,2,1,Baltimore Orioles,Minnesota Twins,Home,1,Trevor Rogers,Kody Funderburk,Ryan Helsley,Adley Rutschman,Baltimore Orioles,"2-4, 0 HR, 0 RBI",Joe Ryan,Minnesota Twins,"5.1 IP, 7 K, 0 ER"
824541,2026-03-26,Great American Ball Park,Cincinnati Reds,Boston Red Sox,R,0,3,Boston Red Sox,Cincinnati Reds,Away,3,Garrett Crochet,Pierce Johnson,Aroldis Chapman,Sal Stewart,Cincinnati Reds,"3-4, 0 HR, 0 RBI",Garrett Crochet,Boston Red Sox,"6.0 IP, 8 K, 0 ER"
824218,2026-03-26,Daikin Park,Houston Astros,Los Angeles Angels,R,0,3,Los Angeles Angels,Houston Astros,Away,3,José Soriano,AJ Blubaugh,Jordan Romano,Joey Loperfido,Houston Astros,"2-4, 0 HR, 0 RBI",Hunter Brown,Houston Astros,"4.2 IP, 9 K, 0 ER"
823325,2026-03-26,Petco Park,San Diego Padres,Detroit Tigers,R,2,8,Detroit Tigers,San Diego Padres,Away,6,Tarik Skubal,Nick Pivetta,,Kevin McGonigle,Detroit Tigers,"4-5, 0 HR, 2 RBI",Tarik Skubal,Detroit Tigers,"6.0 IP, 6 K, 0 ER"
823081,2026-03-26,Busch Stadium,St. Louis Cardinals,Tampa Bay Rays,R,9,7,St. Louis Cardinals,Tampa Bay Rays,Home,2,Riley O'Brien,Garrett Cleavinger,Ryne Stanek,Alec Burleson,St. Louis Cardinals,"3-4, 1 HR, 2 RBI",Riley O'Brien,St. Louis Cardinals,"1.1 IP, 2 K, 0 ER"
823486,2026-03-26,Citizens Bank Park,Philadelphia Phillies,Texas Rangers,R,5,3,Philadelphia Phillies,Texas Rangers,Home,2,Cristopher Sánchez,Nathan Eovaldi,Jhoan Duran,Jake Burger,Texas Rangers,"3-4, 1 HR, 2 RBI",Cristopher Sánchez,Philadelphia Phillies,"6.0 IP, 10 K, 0 ER"
823974,2026-03-26,UNIQLO Field at Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,R,8,2,Los Angeles Dodgers,Arizona Diamondbacks,Home,6,Yoshinobu Yamamoto,Zac Gallen,,Will Smith,Los Angeles Dodgers,"2-4, 1 HR, 3 RBI",Yoshinobu Yamamoto,Los Angeles Dodgers,"6.0 IP, 6 K, 2 ER"
823163,2026-03-26,T-Mobile Park,Seattle Mariners,Cleveland Guardians,R,4,6,Cleveland Guardians,Seattle Mariners,Away,2,Connor Brogdon,Gabe Speier,Cade Smith,Chase DeLauter,Cleveland Guardians,"3-5, 2 HR, 2 RBI",Logan Gilbert,Seattle Mariners,"5.1 IP, 7 K, 3 ER"
823243,2026-03-27,Oracle Park,San Francisco Giants,New York Yankees,R,0,3,New York Yankees,San Francisco Giants,Away,3,Cam Schlittler,Robbie Ray,David Bednar,Giancarlo Stanton,New York Yankees,"2-4, 1 HR, 1 RBI",Cam Schlittler,New York Yankees,"5.1 IP, 8 K, 0 ER"
822839,2026-03-27,Rogers Centre,Toronto Blue Jays,Athletics,R,3,2,Toronto Blue Jays,Athletics,Home,1,Jeff Hoffman,Justin Sterner,,Shea Langeliers,Athletics,"3-4, 2 HR, 2 RBI",Kevin Gausman,Toronto Blue Jays,"6.0 IP, 11 K, 1 ER"
823893,2026-03-27,loanDepot park,Miami Marlins,Colorado Rockies,R,2,1,Miami Marlins,Colorado Rockies,Home,1,Sandy Alcantara,Kyle Freeland,Pete Fairbanks,Javier Sanoja,Miami Marlins,"3-3, 0 HR, 1 RBI",Sandy Alcantara,Miami Marlins,"7.0 IP, 5 K, 0 ER"
824946,2026-03-27,Truist Park,Atlanta Braves,Kansas City Royals,R,6,0,Atlanta Braves,Kansas City Royals,Home,6,Chris Sale,Cole Ragans,,Austin Riley,Atlanta Braves,"3-3, 0 HR, 0 RBI",Chris Sale,Atlanta Braves,"6.0 IP, 6 K, 0 ER"
824216,2026-03-27,Daikin Park,Houston Astros,Los Angeles Angels,R,2,6,Los Angeles Angels,Houston Astros,Away,4,Ryan Zeferjahn,Mike Burrows,,Mike Trout,Los Angeles Angels,"3-4, 1 HR, 1 RBI",Mike Burrows,Houston Astros,"5.2 IP, 6 K, 5 ER"
823324,2026-03-27,Petco Park,San Diego Padres,Detroit Tigers,R,2,5,Detroit Tigers,San Diego Padres,Away,3,Enmanuel De Jesus,Jeremiah Estrada,Kenley Jansen,Jackson Merrill,San Diego Padres,"2-3, 0 HR, 0 RBI",Michael King,San Diego Padres,"5.0 IP, 6 K, 0 ER"
823162,2026-03-27,T-Mobile Park,Seattle Mariners,Cleveland Guardians,R,5,1,Seattle Mariners,Cleveland Guardians,Home,4,George Kirby,Gavin Williams,,Steven Kwan,Cleveland Guardians,"2-4, 0 HR, 0 RBI",Gavin Williams,Cleveland Guardians,"5.0 IP, 7 K, 3 ER"
823971,2026-03-27,UNIQLO Field at Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,R,5,4,Los Angeles Dodgers,Arizona Diamondbacks,Home,1,Edgardo Henriquez,Kevin Ginkel,Edwin Díaz,Alex Freeland,Los Angeles Dodgers,"2-3, 1 HR, 1 RBI",Emmet Sheehan,Los Angeles Dodgers,"3.1 IP, 6 K, 4 ER"
823082,2026-03-28,Busch Stadium,St. Louis Cardinals,Tampa Bay Rays,R,6,5,St. Louis Cardinals,Tampa Bay Rays,Home,1,Ryne Stanek,Griffin Jax,,JJ Wetherholt,St. Louis Cardinals,"2-5, 0 HR, 2 RBI",Michael McGreevy,St. Louis Cardinals,"6.0 IP, 5 K, 0 ER"
824701,2026-03-28,Wrigley Field,Chicago Cubs,Washington Nationals,R,10,2,Chicago Cubs,Washington Nationals,Home,8,Cade Horton,Miles Mikolas,,Miguel Amaya,Chicago Cubs,"2-4, 1 HR, 2 RBI",Cade Horton,Chicago Cubs,"6.1 IP, 4 K, 2 ER"
822838,2026-03-28,Rogers Centre,Toronto Blue Jays,Athletics,R,8,7,Toronto Blue Jays,Athletics,Home,1,Spencer Miles,Luis Medina,,Andrés Giménez,Toronto Blue Jays,"4-5, 0 HR, 1 RBI",Dylan Cease,Toronto Blue Jays,"5.1 IP, 12 K, 1 ER"
824862,2026-03-28,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,R,1,4,Minnesota Twins,Baltimore Orioles,Away,3,Anthony Banda,Kyle Bradish,Cole Sands,Jeremiah Jackson,Baltimore Orioles,"2-4, 0 HR, 1 RBI",Taj Bradley,Minnesota Twins,"4.1 IP, 9 K, 1 ER"
823488,2026-03-28,Citizens Bank Park,Philadelphia Phillies,Texas Rangers,R,4,5,Texas Rangers,Philadelphia Phillies,Away,1,Chris Martin,Jhoan Duran,Tyler Alexander,Jake Burger,Texas Rangers,"2-5, 1 HR, 2 RBI",Aaron Nola,Philadelphia Phillies,"5.0 IP, 7 K, 3 ER"
824540,2026-03-28,Great American Ball Park,Cincinnati Reds,Boston Red Sox,R,6,5,Cincinnati Reds,Boston Red Sox,Home,1,Connor Phillips,Justin Slaten,,Matt McLain,Cincinnati Reds,"3-4, 0 HR, 1 RBI",Brady Singer,Cincinnati Reds,"4.0 IP, 5 K, 3 ER"
823651,2026-03-28,Citi Field,New York Mets,Pittsburgh Pirates,R,4,2,New York Mets,Pittsburgh Pirates,Home,2,Richard Lovelady,Hunter Barco,,Bryan Reynolds,Pittsburgh Pirates,"2-5, 0 HR, 1 RBI",David Peterson,New York Mets,"5.1 IP, 3 K, 0 ER"
823892,2026-03-28,loanDepot park,Miami Marlins,Colorado Rockies,R,4,3,Miami Marlins,Colorado Rockies,Home,1,Calvin Faucher,Jaden Hill,Pete Fairbanks,Owen Caissie,Miami Marlins,"3-4, 0 HR, 1 RBI",Eury Pérez,Miami Marlins,"7.0 IP, 8 K, 3 ER"
824213,2026-03-28,Daikin Park,Houston Astros,Los Angeles Angels,R,11,9,Houston Astros,Los Angeles Angels,Home,2,Kai-Wei Teng,Walbert Ureña,,Oswald Peraza,Los Angeles Angels,"3-4, 1 HR, 1 RBI",Reid Detmers,Los Angeles Angels,"4.2 IP, 9 K, 3 ER"
823811,2026-03-28,American Family Field,Milwaukee Brewers,Chicago White Sox,R,6,1,Milwaukee Brewers,Chicago White Sox,Home,5,Aaron Ashby,Sean Burke,,Christian Yelich,Milwaukee Brewers,"3-5, 0 HR, 1 RBI",Sean Burke,Chicago White Sox,"4.0 IP, 5 K, 3 ER"
824945,2026-03-28,Truist Park,Atlanta Braves,Kansas City Royals,R,6,2,Atlanta Braves,Kansas City Royals,Home,4,Osvaldo Bido,Carlos Estévez,,Michael Harris II,Atlanta Braves,"3-4, 0 HR, 1 RBI",Michael Wacha,Kansas City Royals,"6.0 IP, 7 K, 0 ER"
823241,2026-03-28,Oracle Park,San Francisco Giants,New York Yankees,R,1,3,New York Yankees,San Francisco Giants,Away,2,Jake Bird,Tyler Mahle,David Bednar,Rafael Devers,San Francisco Giants,"2-4, 0 HR, 0 RBI",Tyler Mahle,San Francisco Giants,"4.0 IP, 5 K, 2 ER"
823323,2026-03-28,Petco Park,San Diego Padres,Detroit Tigers,R,3,0,San Diego Padres,Detroit Tigers,Home,3,Randy Vásquez,Jack Flaherty,Mason Miller,Ramón Laureano,San Diego Padres,"3-4, 0 HR, 0 RBI",Randy Vásquez,San Diego Padres,"6.0 IP, 8 K, 0 ER"
